RT,Syllable,Position,Occurrence,Subject,Condition
0.4426,ni,2,1,5ff649fda2b5841ceef90ff0,3
0.355,ni,2,1,5ff649fda2b5841ceef90ff0,3
0.2206,ni,2,1,5ff649fda2b5841ceef90ff0,3
0.4241,ni,2,1,5ff649fda2b5841ceef90ff0,3
0.5358,fu,1,1,5ff649fda2b5841ceef90ff0,3
0.4602,fu,1,1,5ff649fda2b5841ceef90ff0,3
0.4321,fu,1,1,5ff649fda2b5841ceef90ff0,3
0.7771,fu,1,1,5ff649fda2b5841ceef90ff0,3
0.5351,re,3,1,5ff649fda2b5841ceef90ff0,3
0.5988,re,3,1,5ff649fda2b5841ceef90ff0,3
0.4851,re,3,1,5ff649fda2b5841ceef90ff0,3
0.6068,re,3,1,5ff649fda2b5841ceef90ff0,3
0.4536,ti,1,1,5ff649fda2b5841ceef90ff0,3
0.4259,ti,1,1,5ff649fda2b5841ceef90ff0,3
0.3372,ti,1,1,5ff649fda2b5841ceef90ff0,3
0.497,ta,3,1,5ff649fda2b5841ceef90ff0,3
0.629,ta,3,1,5ff649fda2b5841ceef90ff0,3
0.4472,ta,3,1,5ff649fda2b5841ceef90ff0,3
0.5015,su,2,1,5ff649fda2b5841ceef90ff0,3
0.4505,su,2,1,5ff649fda2b5841ceef90ff0,3
0.7848,su,2,1,5ff649fda2b5841ceef90ff0,3
0.4638,su,2,1,5ff649fda2b5841ceef90ff0,3
0.5199,ru,3,1,5ff649fda2b5841ceef90ff0,3
0.6192,ru,3,1,5ff649fda2b5841ceef90ff0,3
0.6674,ru,3,1,5ff649fda2b5841ceef90ff0,3
0.4585,ge,1,1,5ff649fda2b5841ceef90ff0,3
0.5001,ge,1,1,5ff649fda2b5841ceef90ff0,3
0.6504,ge,1,1,5ff649fda2b5841ceef90ff0,3
0.4511,ko,2,1,5ff649fda2b5841ceef90ff0,3
0.5091,ko,2,1,5ff649fda2b5841ceef90ff0,3
0.3998,ko,2,1,5ff649fda2b5841ceef90ff0,3
0.5202,ko,2,1,5ff649fda2b5841ceef90ff0,3
0.5242,pu,1,1,5ff649fda2b5841ceef90ff0,3
0.4844,pu,1,1,5ff649fda2b5841ceef90ff0,3
0.6483,pu,1,1,5ff649fda2b5841ceef90ff0,3
0.3897,pu,1,1,5ff649fda2b5841ceef90ff0,3
0.6851,me,2,1,5ff649fda2b5841ceef90ff0,3
0.4185,me,2,1,5ff649fda2b5841ceef90ff0,3
0.418,me,2,1,5ff649fda2b5841ceef90ff0,3
0.4528,fe,3,1,5ff649fda2b5841ceef90ff0,3
0.3841,fe,3,1,5ff649fda2b5841ceef90ff0,3
0.3525,fe,3,1,5ff649fda2b5841ceef90ff0,3
0.3077,fe,3,1,5ff649fda2b5841ceef90ff0,3
0.6791,fu,1,2,5ff649fda2b5841ceef90ff0,3
0.6495,fu,1,2,5ff649fda2b5841ceef90ff0,3
0.5343,fu,1,2,5ff649fda2b5841ceef90ff0,3
0.3513,fu,1,2,5ff649fda2b5841ceef90ff0,3
0.4335,su,2,2,5ff649fda2b5841ceef90ff0,3
0.357,su,2,2,5ff649fda2b5841ceef90ff0,3
0.719,re,3,2,5ff649fda2b5841ceef90ff0,3
0.4047,re,3,2,5ff649fda2b5841ceef90ff0,3
0.2769,re,3,2,5ff649fda2b5841ceef90ff0,3
0.5834,re,3,2,5ff649fda2b5841ceef90ff0,3
0.5914,ni,2,2,5ff649fda2b5841ceef90ff0,3
0.5087,ni,2,2,5ff649fda2b5841ceef90ff0,3
0.8257,ni,2,2,5ff649fda2b5841ceef90ff0,3
0.3938,fe,3,2,5ff649fda2b5841ceef90ff0,3
0.3178,fe,3,2,5ff649fda2b5841ceef90ff0,3
0.0894,fe,3,2,5ff649fda2b5841ceef90ff0,3
0.1761,fe,3,2,5ff649fda2b5841ceef90ff0,3
0.6218,pu,1,2,5ff649fda2b5841ceef90ff0,3
0.5123,pu,1,2,5ff649fda2b5841ceef90ff0,3
0.6946,pu,1,2,5ff649fda2b5841ceef90ff0,3
0.4676,ta,3,2,5ff649fda2b5841ceef90ff0,3
0.4923,ta,3,2,5ff649fda2b5841ceef90ff0,3
0.4002,ta,3,2,5ff649fda2b5841ceef90ff0,3
0.4144,ta,3,2,5ff649fda2b5841ceef90ff0,3
0.566,ge,1,2,5ff649fda2b5841ceef90ff0,3
0.4704,ge,1,2,5ff649fda2b5841ceef90ff0,3
0.384,ge,1,2,5ff649fda2b5841ceef90ff0,3
0.4834,ge,1,2,5ff649fda2b5841ceef90ff0,3
0.5754,ko,2,2,5ff649fda2b5841ceef90ff0,3
0.6859,ko,2,2,5ff649fda2b5841ceef90ff0,3
0.4575,ko,2,2,5ff649fda2b5841ceef90ff0,3
0.7093,ko,2,2,5ff649fda2b5841ceef90ff0,3
0.3053,ru,3,2,5ff649fda2b5841ceef90ff0,3
0.3991,ru,3,2,5ff649fda2b5841ceef90ff0,3
0.5771,ru,3,2,5ff649fda2b5841ceef90ff0,3
0.4022,ru,3,2,5ff649fda2b5841ceef90ff0,3
0.4186,me,2,2,5ff649fda2b5841ceef90ff0,3
0.4389,ti,1,2,5ff649fda2b5841ceef90ff0,3
0.4813,ti,1,2,5ff649fda2b5841ceef90ff0,3
0.5184,ti,1,2,5ff649fda2b5841ceef90ff0,3
0.3584,re,3,3,5ff649fda2b5841ceef90ff0,3
0.3428,re,3,3,5ff649fda2b5841ceef90ff0,3
0.5195,re,3,3,5ff649fda2b5841ceef90ff0,3
0.436,re,3,3,5ff649fda2b5841ceef90ff0,3
0.4036,su,2,3,5ff649fda2b5841ceef90ff0,3
0.4399,su,2,3,5ff649fda2b5841ceef90ff0,3
0.5691,su,2,3,5ff649fda2b5841ceef90ff0,3
0.8209,su,2,3,5ff649fda2b5841ceef90ff0,3
0.6059,fu,1,3,5ff649fda2b5841ceef90ff0,3
0.7713,fu,1,3,5ff649fda2b5841ceef90ff0,3
0.4749,fu,1,3,5ff649fda2b5841ceef90ff0,3
0.4868,fu,1,3,5ff649fda2b5841ceef90ff0,3
0.428,ni,2,3,5ff649fda2b5841ceef90ff0,3
0.555,ni,2,3,5ff649fda2b5841ceef90ff0,3
0.4231,ni,2,3,5ff649fda2b5841ceef90ff0,3
0.3446,ni,2,3,5ff649fda2b5841ceef90ff0,3
0.8171,ta,3,3,5ff649fda2b5841ceef90ff0,3
0.4821,ta,3,3,5ff649fda2b5841ceef90ff0,3
0.385,ta,3,3,5ff649fda2b5841ceef90ff0,3
0.6112,ti,1,3,5ff649fda2b5841ceef90ff0,3
0.6871,ti,1,3,5ff649fda2b5841ceef90ff0,3
0.5199,ti,1,3,5ff649fda2b5841ceef90ff0,3
0.5358,ti,1,3,5ff649fda2b5841ceef90ff0,3
0.3865,me,2,3,5ff649fda2b5841ceef90ff0,3
0.4061,me,2,3,5ff649fda2b5841ceef90ff0,3
0.4714,me,2,3,5ff649fda2b5841ceef90ff0,3
0.5301,me,2,3,5ff649fda2b5841ceef90ff0,3
0.612,pu,1,3,5ff649fda2b5841ceef90ff0,3
0.4239,pu,1,3,5ff649fda2b5841ceef90ff0,3
0.6741,pu,1,3,5ff649fda2b5841ceef90ff0,3
0.8998,pu,1,3,5ff649fda2b5841ceef90ff0,3
0.5124,fe,3,3,5ff649fda2b5841ceef90ff0,3
0.3455,fe,3,3,5ff649fda2b5841ceef90ff0,3
0.4621,fe,3,3,5ff649fda2b5841ceef90ff0,3
0.8968,ge,1,3,5ff649fda2b5841ceef90ff0,3
0.4706,ge,1,3,5ff649fda2b5841ceef90ff0,3
0.5851,ge,1,3,5ff649fda2b5841ceef90ff0,3
0.3857,ge,1,3,5ff649fda2b5841ceef90ff0,3
0.4273,ru,3,3,5ff649fda2b5841ceef90ff0,3
0.4222,ru,3,3,5ff649fda2b5841ceef90ff0,3
0.4741,ru,3,3,5ff649fda2b5841ceef90ff0,3
0.8081,ru,3,3,5ff649fda2b5841ceef90ff0,3
0.8173,ko,2,3,5ff649fda2b5841ceef90ff0,3
0.7888,ko,2,3,5ff649fda2b5841ceef90ff0,3
0.4374,ko,2,3,5ff649fda2b5841ceef90ff0,3
0.5068,ko,2,3,5ff649fda2b5841ceef90ff0,3
0.1167,pu,2,1,60dc4b08dd9ec36f5ca9e3fa,1
0.3852,pu,2,1,60dc4b08dd9ec36f5ca9e3fa,1
0.3354,pu,2,1,60dc4b08dd9ec36f5ca9e3fa,1
0.3085,ta,1,1,60dc4b08dd9ec36f5ca9e3fa,1
0.456,ta,1,1,60dc4b08dd9ec36f5ca9e3fa,1
0.4047,ta,1,1,60dc4b08dd9ec36f5ca9e3fa,1
0.4866,ta,1,1,60dc4b08dd9ec36f5ca9e3fa,1
0.3099,me,3,1,60dc4b08dd9ec36f5ca9e3fa,1
0.6302,me,3,1,60dc4b08dd9ec36f5ca9e3fa,1
0.3513,me,3,1,60dc4b08dd9ec36f5ca9e3fa,1
0.3493,fe,1,1,60dc4b08dd9ec36f5ca9e3fa,1
0.6016,fe,1,1,60dc4b08dd9ec36f5ca9e3fa,1
0.1741,fe,1,1,60dc4b08dd9ec36f5ca9e3fa,1
0.736,fe,1,1,60dc4b08dd9ec36f5ca9e3fa,1
0.6371,ko,3,1,60dc4b08dd9ec36f5ca9e3fa,1
0.4004,ko,3,1,60dc4b08dd9ec36f5ca9e3fa,1
0.4033,ko,3,1,60dc4b08dd9ec36f5ca9e3fa,1
0.5824,ko,3,1,60dc4b08dd9ec36f5ca9e3fa,1
0.5965,ti,2,1,60dc4b08dd9ec36f5ca9e3fa,1
1.0999,ti,2,1,60dc4b08dd9ec36f5ca9e3fa,1
0.7057,ni,3,1,60dc4b08dd9ec36f5ca9e3fa,1
0.4031,ni,3,1,60dc4b08dd9ec36f5ca9e3fa,1
0.3201,re,1,1,60dc4b08dd9ec36f5ca9e3fa,1
0.4702,re,1,1,60dc4b08dd9ec36f5ca9e3fa,1
0.5868,re,1,1,60dc4b08dd9ec36f5ca9e3fa,1
0.3851,re,1,1,60dc4b08dd9ec36f5ca9e3fa,1
0.5172,fu,2,1,60dc4b08dd9ec36f5ca9e3fa,1
0.506,fu,2,1,60dc4b08dd9ec36f5ca9e3fa,1
0.6338,fu,2,1,60dc4b08dd9ec36f5ca9e3fa,1
0.3879,fu,2,1,60dc4b08dd9ec36f5ca9e3fa,1
0.4196,ru,1,1,60dc4b08dd9ec36f5ca9e3fa,1
0.7026,ru,1,1,60dc4b08dd9ec36f5ca9e3fa,1
0.3856,ru,1,1,60dc4b08dd9ec36f5ca9e3fa,1
0.2208,ge,2,1,60dc4b08dd9ec36f5ca9e3fa,1
0.2639,ge,2,1,60dc4b08dd9ec36f5ca9e3fa,1
0.3953,ge,2,1,60dc4b08dd9ec36f5ca9e3fa,1
0.329,ge,2,1,60dc4b08dd9ec36f5ca9e3fa,1
0.6862,su,3,1,60dc4b08dd9ec36f5ca9e3fa,1
0.4411,su,3,1,60dc4b08dd9ec36f5ca9e3fa,1
0.5385,ta,1,2,60dc4b08dd9ec36f5ca9e3fa,1
0.3377,ta,1,2,60dc4b08dd9ec36f5ca9e3fa,1
0.4582,ta,1,2,60dc4b08dd9ec36f5ca9e3fa,1
1.1747,ti,2,2,60dc4b08dd9ec36f5ca9e3fa,1
0.4024,ti,2,2,60dc4b08dd9ec36f5ca9e3fa,1
0.5513,ti,2,2,60dc4b08dd9ec36f5ca9e3fa,1
0.4207,me,3,2,60dc4b08dd9ec36f5ca9e3fa,1
0.3079,me,3,2,60dc4b08dd9ec36f5ca9e3fa,1
1.0198,me,3,2,60dc4b08dd9ec36f5ca9e3fa,1
0.3527,pu,2,2,60dc4b08dd9ec36f5ca9e3fa,1
0.5537,pu,2,2,60dc4b08dd9ec36f5ca9e3fa,1
0.4045,pu,2,2,60dc4b08dd9ec36f5ca9e3fa,1
0.4269,su,3,2,60dc4b08dd9ec36f5ca9e3fa,1
0.4182,su,3,2,60dc4b08dd9ec36f5ca9e3fa,1
0.6713,su,3,2,60dc4b08dd9ec36f5ca9e3fa,1
0.8344,su,3,2,60dc4b08dd9ec36f5ca9e3fa,1
0.4482,ru,1,2,60dc4b08dd9ec36f5ca9e3fa,1
0.4503,ru,1,2,60dc4b08dd9ec36f5ca9e3fa,1
0.3958,ru,1,2,60dc4b08dd9ec36f5ca9e3fa,1
0.3573,ko,3,2,60dc4b08dd9ec36f5ca9e3fa,1
0.4724,ko,3,2,60dc4b08dd9ec36f5ca9e3fa,1
0.566,ko,3,2,60dc4b08dd9ec36f5ca9e3fa,1
0.5343,ko,3,2,60dc4b08dd9ec36f5ca9e3fa,1
0.4639,re,1,2,60dc4b08dd9ec36f5ca9e3fa,1
0.3519,re,1,2,60dc4b08dd9ec36f5ca9e3fa,1
0.4684,re,1,2,60dc4b08dd9ec36f5ca9e3fa,1
0.4359,re,1,2,60dc4b08dd9ec36f5ca9e3fa,1
0.4253,fu,2,2,60dc4b08dd9ec36f5ca9e3fa,1
0.4147,fu,2,2,60dc4b08dd9ec36f5ca9e3fa,1
0.6337,fu,2,2,60dc4b08dd9ec36f5ca9e3fa,1
0.5521,ni,3,2,60dc4b08dd9ec36f5ca9e3fa,1
0.7949,ni,3,2,60dc4b08dd9ec36f5ca9e3fa,1
0.3529,ni,3,2,60dc4b08dd9ec36f5ca9e3fa,1
0.298,ni,3,2,60dc4b08dd9ec36f5ca9e3fa,1
0.3556,ge,2,2,60dc4b08dd9ec36f5ca9e3fa,1
0.3974,ge,2,2,60dc4b08dd9ec36f5ca9e3fa,1
0.3194,ge,2,2,60dc4b08dd9ec36f5ca9e3fa,1
0.457,ge,2,2,60dc4b08dd9ec36f5ca9e3fa,1
0.526,fe,1,2,60dc4b08dd9ec36f5ca9e3fa,1
0.4376,fe,1,2,60dc4b08dd9ec36f5ca9e3fa,1
0.8563,me,3,3,60dc4b08dd9ec36f5ca9e3fa,1
0.3427,me,3,3,60dc4b08dd9ec36f5ca9e3fa,1
0.3116,ti,2,3,60dc4b08dd9ec36f5ca9e3fa,1
0.4758,ta,1,3,60dc4b08dd9ec36f5ca9e3fa,1
0.4129,pu,2,3,60dc4b08dd9ec36f5ca9e3fa,1
0.6184,pu,2,3,60dc4b08dd9ec36f5ca9e3fa,1
0.7754,pu,2,3,60dc4b08dd9ec36f5ca9e3fa,1
0.4804,ko,3,3,60dc4b08dd9ec36f5ca9e3fa,1
0.488,ko,3,3,60dc4b08dd9ec36f5ca9e3fa,1
0.4409,ko,3,3,60dc4b08dd9ec36f5ca9e3fa,1
0.3535,fe,1,3,60dc4b08dd9ec36f5ca9e3fa,1
0.3899,fe,1,3,60dc4b08dd9ec36f5ca9e3fa,1
0.3239,ge,2,3,60dc4b08dd9ec36f5ca9e3fa,1
0.4566,ge,2,3,60dc4b08dd9ec36f5ca9e3fa,1
0.3205,ge,2,3,60dc4b08dd9ec36f5ca9e3fa,1
0.3938,ru,1,3,60dc4b08dd9ec36f5ca9e3fa,1
0.4904,ru,1,3,60dc4b08dd9ec36f5ca9e3fa,1
0.4379,ru,1,3,60dc4b08dd9ec36f5ca9e3fa,1
0.3165,ru,1,3,60dc4b08dd9ec36f5ca9e3fa,1
0.4536,su,3,3,60dc4b08dd9ec36f5ca9e3fa,1
0.553,su,3,3,60dc4b08dd9ec36f5ca9e3fa,1
0.4181,su,3,3,60dc4b08dd9ec36f5ca9e3fa,1
0.5131,re,1,3,60dc4b08dd9ec36f5ca9e3fa,1
0.4512,re,1,3,60dc4b08dd9ec36f5ca9e3fa,1
0.5841,re,1,3,60dc4b08dd9ec36f5ca9e3fa,1
0.5636,re,1,3,60dc4b08dd9ec36f5ca9e3fa,1
0.4503,ni,3,3,60dc4b08dd9ec36f5ca9e3fa,1
0.7957,ni,3,3,60dc4b08dd9ec36f5ca9e3fa,1
0.8474,ni,3,3,60dc4b08dd9ec36f5ca9e3fa,1
0.4087,fu,2,3,60dc4b08dd9ec36f5ca9e3fa,1
0.4689,fu,2,3,60dc4b08dd9ec36f5ca9e3fa,1
0.343,fu,1,1,5b62e26f3a02cf000108d040,3
0.326,fu,1,1,5b62e26f3a02cf000108d040,3
0.45,fu,1,1,5b62e26f3a02cf000108d040,3
0.343,su,2,1,5b62e26f3a02cf000108d040,3
0.385,su,2,1,5b62e26f3a02cf000108d040,3
0.526,su,2,1,5b62e26f3a02cf000108d040,3
0.4,su,2,1,5b62e26f3a02cf000108d040,3
0.312,re,3,1,5b62e26f3a02cf000108d040,3
0.35,re,3,1,5b62e26f3a02cf000108d040,3
0.393,re,3,1,5b62e26f3a02cf000108d040,3
0.334,re,3,1,5b62e26f3a02cf000108d040,3
0.9,ni,2,1,5b62e26f3a02cf000108d040,3
0.391,ni,2,1,5b62e26f3a02cf000108d040,3
0.354,ni,2,1,5b62e26f3a02cf000108d040,3
0.44,ni,2,1,5b62e26f3a02cf000108d040,3
0.618,fe,3,1,5b62e26f3a02cf000108d040,3
0.425,fe,3,1,5b62e26f3a02cf000108d040,3
0.469,fe,3,1,5b62e26f3a02cf000108d040,3
0.652,fe,3,1,5b62e26f3a02cf000108d040,3
0.434,pu,1,1,5b62e26f3a02cf000108d040,3
0.454,pu,1,1,5b62e26f3a02cf000108d040,3
0.423,pu,1,1,5b62e26f3a02cf000108d040,3
0.423,ta,3,1,5b62e26f3a02cf000108d040,3
0.55,ta,3,1,5b62e26f3a02cf000108d040,3
0.303,ta,3,1,5b62e26f3a02cf000108d040,3
0.339,ta,3,1,5b62e26f3a02cf000108d040,3
0.668,ge,1,1,5b62e26f3a02cf000108d040,3
0.385,ge,1,1,5b62e26f3a02cf000108d040,3
0.401,ko,2,1,5b62e26f3a02cf000108d040,3
0.454,ko,2,1,5b62e26f3a02cf000108d040,3
0.642,ko,2,1,5b62e26f3a02cf000108d040,3
0.518,ko,2,1,5b62e26f3a02cf000108d040,3
0.36,ru,3,1,5b62e26f3a02cf000108d040,3
0.399,ru,3,1,5b62e26f3a02cf000108d040,3
0.401,ru,3,1,5b62e26f3a02cf000108d040,3
0.402,ru,3,1,5b62e26f3a02cf000108d040,3
0.306,me,2,1,5b62e26f3a02cf000108d040,3
0.416,me,2,1,5b62e26f3a02cf000108d040,3
0.433,me,2,1,5b62e26f3a02cf000108d040,3
0.306,me,2,1,5b62e26f3a02cf000108d040,3
0.385,ti,1,1,5b62e26f3a02cf000108d040,3
0.001,ti,1,1,5b62e26f3a02cf000108d040,3
0.402,ti,1,1,5b62e26f3a02cf000108d040,3
0.65,ti,1,1,5b62e26f3a02cf000108d040,3
0.391,re,3,2,5b62e26f3a02cf000108d040,3
0.334,re,3,2,5b62e26f3a02cf000108d040,3
0.275,re,3,2,5b62e26f3a02cf000108d040,3
0.456,re,3,2,5b62e26f3a02cf000108d040,3
0.392,su,2,2,5b62e26f3a02cf000108d040,3
0.384,su,2,2,5b62e26f3a02cf000108d040,3
0.501,su,2,2,5b62e26f3a02cf000108d040,3
0.402,su,2,2,5b62e26f3a02cf000108d040,3
0.352,fu,1,2,5b62e26f3a02cf000108d040,3
0.34,fu,1,2,5b62e26f3a02cf000108d040,3
0.408,fu,1,2,5b62e26f3a02cf000108d040,3
0.35,fu,1,2,5b62e26f3a02cf000108d040,3
0.456,ni,2,2,5b62e26f3a02cf000108d040,3
0.493,ni,2,2,5b62e26f3a02cf000108d040,3
0.453,ni,2,2,5b62e26f3a02cf000108d040,3
0.399,ni,2,2,5b62e26f3a02cf000108d040,3
0.301,ta,3,2,5b62e26f3a02cf000108d040,3
0.287,ta,3,2,5b62e26f3a02cf000108d040,3
0.359,ta,3,2,5b62e26f3a02cf000108d040,3
0.341,ta,3,2,5b62e26f3a02cf000108d040,3
0.535,ti,1,2,5b62e26f3a02cf000108d040,3
0.503,ti,1,2,5b62e26f3a02cf000108d040,3
0.456,ti,1,2,5b62e26f3a02cf000108d040,3
0.457,ti,1,2,5b62e26f3a02cf000108d040,3
0.351,me,2,2,5b62e26f3a02cf000108d040,3
0.392,me,2,2,5b62e26f3a02cf000108d040,3
0.485,me,2,2,5b62e26f3a02cf000108d040,3
0.457,pu,1,2,5b62e26f3a02cf000108d040,3
0.4,pu,1,2,5b62e26f3a02cf000108d040,3
